date,chair,fk_grade,avg_sentence_length,total_words,cautious_count,definitive_count,cautious_ratio,jargon_count,jargon_freq,prepared_sentiment,qa_sentiment,tone_shift,sp500_same_day_return,sp500_same_day_abs,sp500_next_day_return,reversal,vix_close
2018-12-19,Powell,9.61,16.3,7350,87,53,1.642,34,4.626,0.1947,0.1215,0.0732,-1.574,1.574,-1.1755,0.0,25.58
2019-01-30,Powell,9.83,16.32,7894,87,56,1.554,44,5.574,0.1833,0.0979,0.0854,1.0337,1.0337,0.693,0.0,17.66
2019-03-20,Powell,9.73,16.29,7497,81,51,1.588,34,4.535,0.236,0.098,0.138,-0.2511,0.2511,1.2469,1.0,13.91
2019-05-01,Powell,9.7,16.51,6721,88,36,2.444,30,4.464,0.2371,0.1011,0.136,-0.9687,0.9687,-0.1588,0.0,14.8
2019-06-19,Powell,9.29,16.23,7265,78,44,1.773,8,1.101,0.2196,0.0756,0.144,0.2024,0.2024,0.1553,0.0,14.33
2019-07-31,Powell,8.92,15.64,7683,66,47,1.404,17,2.213,0.1513,0.033,0.1183,-1.1882,1.1882,-0.8979,0.0,16.12
2019-09-18,Powell,9.8,16.47,8732,74,59,1.254,40,4.581,0.144,0.0644,0.0796,0.1742,0.1742,-0.1186,1.0,13.95
2019-10-30,Powell,9.57,15.52,7870,98,53,1.849,27,3.431,0.2494,0.0847,0.1647,0.2313,0.2313,-0.3065,1.0,12.33
2019-12-11,Powell,9.75,17.15,8947,85,55,1.545,44,4.918,0.2581,0.0692,0.1889,0.1875,0.1875,0.8704,0.0,14.99
2020-01-29,Powell,10.06,17.08,9366,86,86,1.0,50,5.338,0.2535,0.1155,0.138,-0.4882,0.4882,0.8356,1.0,16.39
2020-03-03,Powell,8.65,13.81,2347,17,35,0.486,2,0.852,0.2109,0.0713,0.1396,-3.0063,3.0063,2.7701,1.0,36.82
2020-04-29,Powell,9.51,16.86,7918,71,106,0.67,7,0.884,0.1083,0.0577,0.0506,0.7213,0.7213,-0.6305,1.0,31.23
2020-06-10,Powell,9.94,17.94,10050,108,81,1.333,9,0.896,0.1097,0.0808,0.0289,-0.7245,0.7245,-3.8876,0.0,27.57
2020-07-29,Powell,9.15,15.42,9805,83,97,0.856,16,1.632,0.1674,0.0962,0.0712,0.9674,0.9674,0.4474,0.0,24.1
2020-09-16,Powell,9.85,16.05,10760,108,114,0.947,19,1.766,0.2096,0.1191,0.0905,-0.7546,0.7546,0.3033,1.0,26.04
2020-11-05,Powell,10.24,17.14,8369,70,83,0.843,14,1.673,0.1921,0.1025,0.0896,0.7089,0.7089,0.0313,0.0,27.58
2020-12-16,Powell,9.44,14.85,10068,94,114,0.825,13,1.291,0.1827,0.1047,0.078,0.1331,0.1331,0.2378,0.0,22.5
2021-01-27,Powell,9.79,16.11,9235,72,83,0.867,17,1.841,0.265,0.0862,0.1788,-2.243,2.243,0.8422,1.0,37.21
2021-03-17,Powell,8.66,14.28,10159,106,97,1.093,26,2.559,0.185,0.0771,0.1079,0.6216,0.6216,-0.9622,1.0,19.23
2021-04-28,Powell,9.21,15.43,9825,85,106,0.802,22,2.239,0.2378,0.0897,0.1481,-0.0468,0.0468,0.1267,1.0,17.28
2021-06-16,Powell,9.03,16.06,10418,95,103,0.922,29,2.784,0.1756,0.1058,0.0698,-0.5924,0.5924,0.0353,1.0,18.15
2021-07-28,Powell,8.83,15.0,9562,136,101,1.347,23,2.405,0.2291,0.1202,0.1089,-0.0525,0.0525,0.3533,1.0,18.31
2021-09-22,Powell,9.06,14.62,9120,70,73,0.959,14,1.535,0.215,0.0913,0.1237,0.6459,0.6459,0.9583,0.0,20.87
2021-11-03,Powell,9.32,15.62,9629,66,99,0.667,20,2.077,0.1814,0.0651,0.1163,0.6461,0.6461,0.3674,0.0,15.1
2021-12-15,Powell,9.27,15.91,10580,88,86,1.023,25,2.363,0.2058,0.092,0.1138,1.5829,1.5829,-1.0693,1.0,19.29
2022-01-26,Powell,8.76,14.72,9466,92,86,1.07,50,5.282,0.228,0.0796,0.1484,-1.327,1.327,-1.2343,0.0,31.96
2022-03-16,Powell,8.35,14.02,9065,64,86,0.744,23,2.537,0.1027,0.1166,-0.0139,1.6259,1.6259,1.5318,0.0,26.67
2022-05-04,Powell,8.38,14.02,8097,96,72,1.333,25,3.088,0.1542,0.0673,0.0869,2.8458,2.8458,-2.8934,1.0,25.42
2022-06-15,Powell,9.4,16.02,9429,74,74,1.0,20,2.121,0.1612,0.0814,0.0798,0.6891,0.6891,-1.6472,1.0,29.62
2022-07-27,Powell,8.33,14.25,9659,103,68,1.515,24,2.485,0.1844,0.0428,0.1416,1.8267,1.8267,1.15,0.0,23.24
2022-09-21,Powell,9.43,15.99,7251,61,82,0.744,24,3.31,0.1716,0.1008,0.0708,-2.1044,2.1044,-0.6443,0.0,27.99
2022-11-02,Powell,9.3,15.94,7798,72,68,1.059,20,2.565,0.1971,0.067,0.1301,-2.4192,2.4192,-0.3579,0.0,25.86
2022-12-14,Powell,8.36,14.12,7802,50,87,0.575,17,2.179,0.1505,0.0875,0.063,-0.5035,0.5035,-1.582,0.0,21.14
2023-02-01,Powell,8.65,14.22,7803,69,104,0.663,31,3.973,0.2077,0.062,0.1457,1.2073,1.2073,0.5069,0.0,17.87
2023-03-22,Powell,9.95,15.55,7605,76,83,0.916,37,4.865,0.193,0.0915,0.1015,-1.6259,1.6259,-0.265,0.0,22.26
2023-05-03,Powell,8.65,14.34,8615,104,60,1.733,27,3.134,0.1903,0.0525,0.1378,-0.7641,0.7641,-0.5225,0.0,18.34
2023-06-14,Powell,8.77,15.16,8805,86,72,1.194,31,3.521,0.1438,0.0548,0.089,0.1443,0.1443,1.3861,0.0,13.88
2023-07-26,Powell,9.63,16.28,9239,96,67,1.433,31,3.355,0.1912,0.113,0.0782,0.1709,0.1709,-1.3233,1.0,13.19
2023-09-20,Powell,9.16,15.78,9540,86,69,1.246,21,2.201,0.1642,0.0866,0.0776,-1.1366,1.1366,-1.0141,0.0,15.14
2023-11-01,Powell,9.14,15.61,9049,77,85,0.906,32,3.536,0.2116,0.0997,0.1119,0.8709,0.8709,1.1602,0.0,16.87
2023-12-13,Powell,9.0,14.92,7892,73,75,0.973,25,3.168,0.1854,0.0803,0.1051,1.3105,1.3105,-0.0316,1.0,12.19
2024-01-31,Powell,8.41,14.05,9080,86,68,1.265,25,2.753,0.263,0.1266,0.1364,-1.0928,1.0928,0.9274,1.0,14.35
2024-03-20,Powell,9.15,14.9,8031,79,74,1.068,31,3.86,0.2021,0.1248,0.0773,0.8285,0.8285,-0.2265,1.0,13.04
2024-05-01,Powell,8.76,14.16,8559,96,95,1.011,15,1.753,0.2673,0.0829,0.1844,-0.2116,0.2116,0.2947,1.0,15.39
2024-06-12,Powell,8.28,14.72,9351,77,60,1.283,11,1.176,0.2166,0.1031,0.1135,0.22,0.22,-0.1505,1.0,12.04
2024-07-31,Powell,8.66,14.36,8528,69,66,1.045,7,0.821,0.2331,0.0736,0.1595,0.3035,0.3035,-1.6461,1.0,16.36
2024-09-18,Powell,8.48,14.22,8748,77,68,1.132,19,2.172,0.1629,0.0561,0.1068,-0.4151,0.4151,0.1931,1.0,18.23
2024-11-07,Powell,8.43,13.86,7448,52,60,0.867,9,1.208,0.173,0.0698,0.1032,0.4353,0.4353,0.3142,0.0,15.2
2024-12-18,Powell,8.74,15.33,9635,96,61,1.574,20,2.076,0.1481,0.0838,0.0643,-2.9018,2.9018,-0.7717,0.0,27.62
2025-01-29,Powell,9.18,14.78,8936,83,50,1.66,12,1.343,0.1696,0.0824,0.0872,-0.3036,0.3036,0.3375,1.0,16.56
2025-03-19,Powell,8.5,14.35,9172,94,75,1.253,25,2.726,0.1056,0.0773,0.0283,0.762,0.762,0.2828,0.0,19.9
2025-05-07,Powell,7.98,13.63,8565,120,56,2.143,7,0.817,0.1268,0.0237,0.1031,0.3046,0.3046,0.006,0.0,23.55
2025-06-18,Powell,8.7,14.61,9379,89,76,1.171,7,0.746,0.0672,0.0712,-0.004,-0.1179,0.1179,-0.5305,0.0,20.14
2025-07-30,Powell,8.52,14.04,7931,71,59,1.203,11,1.387,0.1186,0.0638,0.0548,-0.2872,0.2872,-1.3635,0.0,15.48
2025-09-17,Powell,8.26,14.63,8964,75,57,1.316,10,1.116,0.0221,0.0523,-0.0302,-0.0684,0.0684,0.0771,1.0,15.72
2025-10-29,Powell,9.03,15.71,9377,126,78,1.615,35,3.733,0.0929,0.0643,0.0286,-0.2946,0.2946,-0.5562,0.0,16.92
2025-12-10,Powell,8.27,14.01,9058,84,55,1.527,28,3.091,0.0789,0.0579,0.021,0.7784,0.7784,0.5786,0.0,15.77
2026-01-28,Powell,8.64,13.16,7830,94,52,1.808,8,1.022,0.2024,0.0554,0.147,-0.3423,0.3423,-0.1251,0.0,16.35
2026-03-18,Powell,8.74,15.25,8573,90,60,1.5,6,0.7,0.0901,0.062,0.0281,-1.082,1.082,0.355,1.0,25.09
2026-04-29,Powell,8.17,14.35,9809,59,74,0.797,13,1.325,0.2128,0.0908,0.122,0.0609,0.0609,0.6599,0.0,18.81
2026-06-17,Powell,8.81,14.96,7139,76,35,2.171,19,2.661,0.2113,0.1512,0.0601,-1.3875,1.3875,0.1766,1.0,18.44
